minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
0,1,1,65525,115180,2587,3030
0,1,1,65524,115178,2589,3032
1,1,0,1235,2170,3133,3670
2,1,0,1222,2148,3208,3758
3,1,0,1223,2148,3251,3808
4,1,0,1232,2164,3287,3850
5,1,0,1234,2168,3312,3880
6,1,0,1237,2174,3311,3880
7,1,0,1228,2158,3329,3900
8,1,0,1234,2168,3328,3900
9,1,0,1239,2176,3352,3928
10,1,0,1241,2180,3370,3948
11,1,0,1239,2176,3380,3960
12,1,0,1242,2182,3388,3970
13,1,0,1241,2180,3395,3978
14,1,0,1249,2194,3410,3996
15,1,0,1249,2194,3431,4020
16,1,0,1259,2212,3456,4050
17,1,0,1255,2206,3461,4054
18,1,0,1274,2238,3483,4080
19,1,0,1282,2252,3482,4080
20,1,0,1279,2248,3514,4116
21,1,0,1294,2274,3534,4140
22,1,0,1300,2284,3557,4168
23,1,0,1301,2286,3503,4104
24,1,0,1315,2310,3535,4142
25,1,0,1323,2324,3545,4154
26,1,0,1342,2358,3553,4162
27,1,0,1341,2356,3553,4162
28,1,0,1350,2372,3560,4170
29,1,0,1353,2378,3566,4178
30,1,0,1361,2392,3551,4160
31,1,0,1398,2456,3572,4184
32,1,0,1363,2394,3568,4180
33,1,0,1374,2414,3587,4202
34,1,0,1391,2444,3569,4182
35,1,0,1388,2438,3608,4228
36,1,0,1398,2456,3573,4186
37,1,0,1393,2448,3575,4188
38,1,0,1410,2478,3578,4192
39,1,0,1408,2474,3577,4190
40,1,0,1419,2494,3577,4190
41,1,0,1415,2486,3546,4154
42,1,0,1429,2510,3689,4322
43,1,0,1437,2524,3574,4188
44,1,0,1435,2522,3576,4190
45,1,0,1452,2552,3584,4200
46,1,0,1451,2550,3580,4194
47,1,0,1464,2572,3558,4168
48,1,0,1463,2570,3583,4198
49,1,0,1472,2586,3575,4188
50,1,0,1481,2602,3583,4198
51,1,0,1480,2600,3585,4200
52,1,0,1490,2618,3587,4202
53,1,0,1500,2636,3567,4180
54,1,0,1501,2638,3591,4208
55,1,0,1514,2660,3583,4198
56,1,0,1518,2668,3586,4202
57,1,0,1525,2680,3537,4144
58,1,0,1568,2756,3585,4200
