minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
0,1,1,1687,2964,3538,4146
1,1,1,65527,115184,3484,4082
2,1,1,65518,115168,3478,4074
3,1,1,65519,115170,3479,4076
4,1,1,65517,115166,3478,4074
5,1,1,65520,115170,3467,4062
6,1,1,65520,115170,3477,4074
7,1,1,65517,115166,3470,4066
8,1,1,65521,115172,3470,4066
9,1,1,65527,115184,3472,4068
10,1,1,65520,115170,3479,4076
11,1,1,65521,115172,3468,4064
12,1,1,65517,115166,3457,4050
13,1,1,65519,115170,3461,4054
14,1,1,65515,115162,3454,4046
15,1,1,65520,115170,3455,4048
16,1,1,65527,115184,3451,4044
17,1,1,65519,115170,3452,4044
18,1,1,65528,115184,3451,4044
19,1,1,65520,115170,3453,4046
20,1,1,65526,115182,3444,4034
21,1,1,65523,115176,3441,4032
22,1,1,65520,115170,3435,4024
23,1,1,65519,115170,3446,4038
24,1,1,65517,115166,3434,4024
25,1,1,65522,115174,3439,4030
26,1,1,65518,115168,3439,4030
27,1,1,65523,115176,3436,4026
28,1,1,65517,115166,3431,4020
29,1,1,65518,115168,3432,4020
30,1,1,65526,115182,3435,4024
31,1,1,65524,115178,3430,4018
32,1,1,65520,115170,3433,4022
33,1,1,65519,115170,3427,4016
34,1,1,65519,115170,3421,4008
35,1,1,65517,115166,3431,4020
36,1,1,65515,115162,3429,4018
37,1,1,65526,115182,3425,4012
38,1,1,65520,115170,3420,4006
39,1,1,65510,115154,3417,4004
40,1,1,65524,115178,3416,4002
41,1,1,65519,115170,3413,3998
42,1,1,65517,115166,3416,4002
43,1,1,65528,115184,3424,4012
44,1,1,65519,115170,3411,3996
45,1,1,65518,115168,3403,3986
46,1,1,65519,115170,3413,3998
47,1,1,65519,115170,3407,3992
48,1,1,65515,115162,3408,3992
49,1,1,65523,115176,3400,3984
50,1,1,65520,115170,3408,3992
51,1,1,65519,115170,3414,4000
52,1,1,65519,115170,3400,3984
53,1,1,65517,115166,3407,3992
54,1,1,65518,115168,3398,3982
55,1,1,65524,115178,3395,3978
56,1,1,65519,115170,3400,3984
57,1,1,65518,115168,3395,3978
58,1,1,65515,115162,3393,3976
59,1,1,65522,115174,3383,3964
60,1,1,65515,115162,3386,3966
61,1,1,65515,115162,3390,3972
62,1,1,65522,115174,3392,3974
63,1,1,65516,115164,3392,3974
64,1,1,65520,115170,3386,3966
65,1,1,65528,115184,3392,3974
66,1,1,65519,115170,3383,3964
67,1,1,65521,115172,3380,3960
68,1,1,65524,115178,3384,3964
69,1,1,65518,115168,3376,3956
70,1,1,65530,115188,3377,3956
71,1,1,65517,115166,3374,3952
72,1,1,65519,115170,3373,3952
73,1,1,65521,115172,3374,3952
74,1,1,65528,115184,3374,3952
75,1,1,65519,115170,3367,3944
76,1,1,65519,115170,3371,3950
77,1,1,65525,115180,3372,3950
78,1,1,65517,115166,3373,3952
79,1,1,65517,115166,3374,3952
80,1,1,65523,115176,3367,3944
81,1,1,65519,115170,3367,3944
82,1,1,65522,115174,3360,3936
83,1,1,65522,115174,3360,3936
84,1,1,65521,115172,3357,3932
85,1,1,65517,115166,3358,3934
86,1,1,65522,115174,3354,3930
87,1,1,65518,115168,3352,3928
88,1,1,65520,115170,3360,3936
89,1,1,65526,115182,3355,3930
90,1,1,65523,115176,3360,3936
91,1,1,65520,115170,3362,3938
92,1,1,65524,115178,3345,3918
93,1,1,65526,115182,3347,3922
94,1,1,65524,115178,3348,3922
95,1,1,65520,115170,3352,3928
96,1,1,65516,115164,3350,3924
97,1,1,65521,115172,3338,3910
98,1,1,65522,115174,3340,3914
99,1,1,65529,115186,3337,3910
100,1,1,65521,115172,3338,3910
101,1,1,65520,115170,3342,3916
102,1,1,65523,115176,3344,3918
103,1,1,65520,115170,3329,3900
104,1,1,65515,115162,3338,3910
105,1,1,65524,115178,3331,3902
106,1,1,65519,115170,3335,3908
107,1,1,65517,115166,3328,3900
108,1,1,65515,115162,3327,3898
109,1,1,65522,115174,3334,3906
110,1,1,65511,115156,3332,3904
111,1,1,65524,115178,3323,3894
112,1,1,65518,115168,3325,3896
113,1,1,65521,115172,3321,3890
114,1,1,65522,115174,3321,3890
115,1,1,65525,115180,3311,3880
116,1,1,65518,115168,3324,3894
117,1,1,65519,115170,3321,3890
118,1,1,65524,115178,3311,3880
119,1,1,65519,115170,3307,3874
120,1,1,65517,115166,3312,3880
121,1,1,65522,115174,3308,3876
122,1,1,65520,115170,3307,3874
123,1,1,65523,115176,3308,3876
124,1,1,65523,115176,3316,3884
125,1,1,65515,115162,3315,3884
126,1,1,65528,115184,3309,3876
127,1,1,65522,115174,3302,3868
128,1,1,65517,115166,3306,3874
129,1,1,65524,115178,3304,3870
130,1,1,65518,115168,3302,3868
131,1,1,65520,115170,3301,3868
132,1,1,65519,115170,3296,3862
133,1,1,65511,115156,3302,3868
134,1,1,65519,115170,3302,3868
135,1,1,65524,115178,3310,3878
136,1,1,65519,115170,3303,3870
137,1,1,65518,115168,3302,3868
138,1,1,65519,115170,3296,3862
139,1,1,65526,115182,3293,3858
140,1,1,65519,115170,3294,3860
141,1,1,65519,115170,3294,3860
142,1,1,65524,115178,3286,3850
143,1,1,65522,115174,3282,3846
144,1,1,65520,115170,3279,3842
145,1,1,65520,115170,3288,3852
146,1,1,65521,115172,3292,3856
147,1,1,65522,115174,3282,3846
148,1,1,65520,115170,3288,3852
149,1,1,65519,115170,3276,3838
150,1,1,65518,115168,3287,3850
151,1,1,65525,115180,3278,3840
152,1,1,65519,115170,3280,3842
153,1,1,65522,115174,3276,3838
154,1,1,65519,115170,3272,3834
155,1,1,65521,115172,3280,3842
156,1,1,65518,115168,3272,3834
157,1,1,65519,115170,3268,3828
158,1,1,65516,115164,3278,3840
159,1,1,65520,115170,3274,3836
160,1,1,65517,115166,3272,3834
161,1,1,65521,115172,3272,3834
162,1,1,65519,115170,3270,3832
163,1,1,65519,115170,3268,3828
164,1,1,65519,115170,3262,3822
165,1,1,65517,115166,3266,3826
166,1,1,65516,115164,3264,3824
167,1,1,65511,115156,3261,3820
168,1,1,65517,115166,3259,3818
169,1,1,65519,115170,3264,3824
170,1,1,65524,115178,3258,3816
171,1,1,65518,115168,3256,3814
172,1,1,65519,115170,3256,3814
173,1,1,65518,115168,3256,3814
174,1,1,65520,115170,3251,3808
175,1,1,65517,115166,3256,3814
176,1,1,65523,115176,3262,3822
177,1,1,65518,115168,3250,3808
178,1,1,65522,115174,3262,3822
179,1,1,65517,115166,3239,3794
180,1,1,65515,115162,3252,3810
181,1,1,65517,115166,3246,3802
182,1,1,65519,115170,3248,3806
183,1,1,65518,115168,3243,3800
184,1,1,65523,115176,3241,3798
185,1,1,65522,115174,3241,3798
186,1,1,65519,115170,3238,3794
187,1,1,65519,115170,3242,3798
188,1,1,65520,115170,3241,3798
189,1,1,65521,115172,3239,3794
190,1,1,65519,115170,3240,3796
191,1,1,65518,115168,3223,3776
192,1,1,65517,115166,3236,3792
193,1,1,65522,115174,3235,3790
194,1,1,65519,115170,3240,3796
195,1,1,65522,115174,3236,3792
196,1,1,65513,115158,3229,3782
197,1,1,65517,115166,3228,3782
198,1,1,65520,115170,3233,3788
199,1,1,65519,115170,3215,3766
200,1,1,65517,115166,3229,3782
201,1,1,65515,115162,3225,3778
202,1,1,65527,115184,3224,3778
203,1,1,65523,115176,3229,3782
204,1,1,65521,115172,3212,3764
205,1,1,65521,115172,3220,3772
206,1,1,65515,115162,3216,3768
207,1,1,65523,115176,3218,3770
208,1,1,65520,115170,3220,3772
209,1,1,65518,115168,3217,3768
210,1,1,65522,115174,3212,3764
211,1,1,65517,115166,3211,3762
212,1,1,65524,115178,3217,3768
213,1,1,65519,115170,3216,3768
214,1,1,65520,115170,3216,3768
215,1,1,65522,115174,3206,3756
216,1,1,65521,115172,3207,3758
217,1,1,65522,115174,3205,3754
218,1,1,65522,115174,3208,3758
219,1,1,65517,115166,3208,3758
220,1,1,65518,115168,3203,3752
221,1,1,65526,115182,3206,3756
222,1,1,65520,115170,3201,3750
