minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
0,1,1,65523,115176,3263,3822
1,1,1,65522,115174,3261,3820
2,1,1,65521,115172,3260,3820
3,1,1,65522,115174,3255,3814
4,1,1,65519,115170,3262,3822
5,1,1,65521,115172,3265,3826
6,1,1,65525,115180,3258,3816
7,1,1,65521,115172,3257,3816
8,1,1,65524,115178,3268,3828
9,1,1,65519,115170,3266,3826
10,1,1,65521,115172,3262,3822
11,1,1,65519,115170,3260,3820
12,1,1,65522,115174,3259,3818
13,1,1,65524,115178,3260,3820
14,1,1,65524,115178,3255,3814
15,1,1,65521,115172,3263,3822
16,1,1,65521,115172,3260,3820
17,1,1,65528,115184,3257,3816
18,1,1,65522,115174,3257,3816
19,1,1,65523,115176,3262,3822
20,1,1,65526,115182,3256,3814
21,1,1,65523,115176,3262,3822
22,1,1,65518,115168,3254,3812
23,1,1,65525,115180,3259,3818
24,1,1,65521,115172,3256,3814
25,1,1,65519,115170,3247,3804
26,1,1,65522,115174,3252,3810
27,1,1,65520,115170,3252,3810
28,1,1,65532,115192,3255,3814
29,1,1,65524,115178,3247,3804
30,1,1,65525,115180,3246,3802
31,1,1,65523,115176,3251,3808
32,1,1,65532,115192,3249,3806
33,1,1,65524,115178,3248,3806
34,1,1,65520,115170,3253,3812
35,1,1,65523,115176,3254,3812
36,1,1,65525,115180,3255,3814
37,1,1,65528,115184,3256,3814
38,1,1,65525,115180,3250,3808
39,1,1,65520,115170,3250,3808
40,1,1,65528,115184,3244,3800
41,1,1,65526,115182,3248,3806
42,1,1,65526,115182,3247,3804
43,1,1,65524,115178,3248,3806
44,1,1,65525,115180,3242,3798
45,1,1,65518,115168,3253,3812
46,1,1,65521,115172,3250,3808
47,1,1,65521,115172,3251,3808
48,1,1,65519,115170,3248,3806
49,1,1,65518,115168,3243,3800
50,1,1,65523,115176,3242,3798
51,1,1,65520,115170,3246,3802
52,1,1,65526,115182,3247,3804
53,1,1,65519,115170,3247,3804
54,1,1,65520,115170,3245,3802
55,1,1,65528,115184,3249,3806
56,1,1,65524,115178,3236,3792
57,1,1,65524,115178,3248,3806
58,1,1,65521,115172,3247,3804
59,1,1,65517,115166,3240,3796
60,1,1,65523,115176,3248,3806
61,1,1,65522,115174,3248,3806
62,1,1,65524,115178,3234,3788
63,1,1,65528,115184,3235,3790
64,1,1,65523,115176,3240,3796
65,1,1,65524,115178,3242,3798
66,1,1,65519,115170,3243,3800
67,1,1,65521,115172,3235,3790
68,1,1,65521,115172,3236,3792
69,1,1,65525,115180,3234,3788
70,1,1,65521,115172,3240,3796
71,1,1,65523,115176,3236,3792
72,1,1,65524,115178,3236,3792
73,1,1,65521,115172,3240,3796
74,1,1,65518,115168,3238,3794
75,1,1,65525,115180,3230,3784
76,1,1,65519,115170,3230,3784
77,1,1,65525,115180,3240,3796
78,1,1,65519,115170,3238,3794
79,1,1,65528,115184,3230,3784
80,1,1,65522,115174,3231,3786
81,1,1,65521,115172,3231,3786
82,1,1,65524,115178,3236,3792
83,1,1,65521,115172,3231,3786
84,1,1,65520,115170,3236,3792
85,1,1,65523,115176,3234,3788
86,1,1,65522,115174,3226,3780
87,1,1,65523,115176,3232,3786
88,1,1,65526,115182,3231,3786
89,1,1,65519,115170,3225,3778
90,1,1,65524,115178,3228,3782
91,1,1,65522,115174,3223,3776
92,1,1,65519,115170,3230,3784
93,1,1,65521,115172,3226,3780
94,1,1,65523,115176,3223,3776
95,1,1,65524,115178,3228,3782
96,1,1,65523,115176,3227,3780
97,1,1,65519,115170,3219,3772
98,1,1,65522,115174,3223,3776
99,1,1,65523,115176,3228,3782
100,1,1,65521,115172,3220,3772
101,1,1,65517,115166,3224,3778
102,1,1,65524,115178,3220,3772
103,1,1,65521,115172,3219,3772
104,1,1,65525,115180,3215,3766
105,1,1,65524,115178,3216,3768
106,1,1,65525,115180,3216,3768
107,1,1,65520,115170,3212,3764
108,1,1,65524,115178,3212,3764
109,1,1,65524,115178,3211,3762
110,1,1,65522,115174,3212,3764
111,1,1,65525,115180,3214,3766
112,1,1,65526,115182,3212,3764
113,1,1,65523,115176,3216,3768
114,1,1,65522,115174,3214,3766
115,1,1,65522,115174,3203,3752
116,1,1,65519,115170,3210,3760
117,1,1,65522,115174,3203,3752
118,1,1,65525,115180,3208,3758
119,1,1,65524,115178,3195,3744
120,1,1,65524,115178,3199,3748
121,1,1,65526,115182,3206,3756
122,1,1,65521,115172,3207,3758
123,1,1,65520,115170,3206,3756
124,1,1,65526,115182,3203,3752
125,1,1,65520,115170,3198,3746
126,1,1,65520,115170,3198,3746
127,1,1,65519,115170,3201,3750
128,1,1,65515,115162,3195,3744
129,1,1,65524,115178,3204,3754
130,1,1,65521,115172,3204,3754
131,1,1,65526,115182,3189,3736
132,1,1,65522,115174,3201,3750
133,1,1,65522,115174,3194,3742
135,1,1,65523,115176,3191,3738
136,1,1,65526,115182,3191,3738
136,1,1,65522,115174,3196,3744
137,1,1,65521,115172,3191,3738
138,1,1,65519,115170,3198,3746
139,1,1,65521,115172,3195,3744
140,1,1,65526,115182,3189,3736
141,1,1,65525,115180,3196,3744
142,1,1,65523,115176,3188,3734
143,1,1,65528,115184,3184,3730
144,1,1,65519,115170,3181,3726
145,1,1,65526,115182,3179,3724
146,1,1,65525,115180,3182,3728
147,1,1,65521,115172,3181,3726
148,1,1,65520,115170,3170,3714
149,1,1,65522,115174,3176,3720
150,1,1,65521,115172,3176,3720
151,1,1,65490,115118,3179,3724
152,1,1,65519,115170,3180,3726
153,1,1,65519,115170,3169,3712
154,1,1,65521,115172,3169,3712
155,1,1,65528,115184,3172,3716
156,1,1,65525,115180,3166,3710
157,1,1,65524,115178,3168,3712
158,1,1,65522,115174,3162,3704
159,1,1,65520,115170,3159,3700
160,1,1,65518,115168,3157,3698
161,1,1,65518,115168,3159,3700
162,1,1,65520,115170,3166,3710
163,1,1,65521,115172,3156,3698
164,1,1,65522,115174,3164,3706
165,1,1,65524,115178,3153,3694
166,1,1,65520,115170,3147,3686
167,1,1,65524,115178,3154,3696
168,1,1,65521,115172,3149,3690
169,1,1,65524,115178,3150,3690
170,1,1,65528,115184,3151,3692
171,1,1,65518,115168,3147,3686
172,1,1,65523,115176,3146,3686
173,1,1,65525,115180,3146,3686
174,1,1,65521,115172,3135,3672
175,1,1,65521,115172,3140,3678
176,1,1,65528,115184,3138,3676
177,1,1,65519,115170,3137,3676
178,1,1,65525,115180,3135,3672
179,1,1,65520,115170,3132,3670
180,1,1,65519,115170,3129,3666
181,1,1,65524,115178,3129,3666
182,1,1,65523,115176,3122,3658
183,1,1,65524,115178,3127,3664
184,1,1,65521,115172,3120,3656
185,1,1,65524,115178,3128,3664
186,1,1,65523,115176,3120,3656
187,1,1,65530,115188,3121,3656
188,1,1,65522,115174,3119,3654
189,1,1,65519,115170,3118,3652
