minutes,charger_en,stat,ts_raw,ts_mV,vbat_raw,vbat_mV
175,1,0,1688,2966,3585,4200
176,1,0,1685,2960,3583,4198
177,1,0,1694,2976,3585,4200
178,1,0,1691,2972,3580,4194
179,1,0,1712,3008,3583,4198
180,1,0,1691,2972,3595,4212
181,1,0,1701,2990,3584,4200
182,1,0,1696,2980,3616,4236
183,1,0,1699,2986,3580,4194
184,1,0,1692,2974,3583,4198
185,1,0,1693,2974,3583,4198
186,1,0,1696,2980,3583,4198
187,1,0,1696,2980,3600,4218
188,1,0,1696,2980,3596,4214
189,1,0,1695,2978,3592,4208
190,1,0,1698,2984,3589,4204
191,1,0,1694,2976,3585,4200
192,1,0,1696,2980,3588,4204
193,1,0,1690,2970,3583,4198
194,1,0,1692,2974,3600,4218
195,1,0,1695,2978,3587,4202
196,1,0,1696,2980,3591,4208
197,1,0,1689,2968,3592,4208
198,1,0,1691,2972,3579,4194
199,1,0,1699,2986,3590,4206
200,1,0,1700,2988,3591,4208
201,1,0,1695,2978,3587,4202
202,1,0,1704,2994,3591,4208
203,1,0,1705,2996,3583,4198
204,1,0,1700,2988,3584,4200
205,1,0,1704,2994,3587,4202
206,1,0,1704,2994,3591,4208
207,1,0,1698,2984,3583,4198
208,1,0,1695,2978,3588,4204
209,1,0,1699,2986,3591,4208
210,1,0,1696,2980,3580,4194
211,1,0,1692,2974,3591,4208
212,1,0,1696,2980,3572,4184
213,1,0,1705,2996,3589,4204
214,1,0,1695,2978,3583,4198
215,1,0,1689,2968,3615,4236
216,1,0,1696,2980,3592,4208
217,1,0,1699,2986,3584,4200
218,1,0,1710,3004,3612,4232
219,1,0,1712,3008,3592,4208
220,1,0,1695,2978,3586,4202
221,1,0,1700,2988,3588,4204
222,1,0,1694,2976,3579,4194
223,1,0,1699,2986,3587,4202
224,1,0,1694,2976,3585,4200
225,1,0,1693,2974,3594,4210
226,1,0,1706,2998,3592,4208
227,1,0,1713,3010,3579,4194
228,1,0,1700,2988,3583,4198
229,1,0,1694,2976,3588,4204
230,1,0,1702,2990,3580,4194
231,1,0,1703,2992,3589,4204
232,1,0,1694,2976,3583,4198
233,1,0,1694,2976,3590,4206
234,1,0,1697,2982,3591,4208
235,1,0,1693,2974,3597,4214
236,1,0,1708,3002,3584,4200
237,1,0,1695,2978,3587,4202
238,1,0,1692,2974,3584,4200
239,1,0,1693,2974,3581,4196
240,1,0,1695,2978,3588,4204
241,1,0,1704,2994,3579,4194
242,1,0,1705,2996,3592,4208
243,1,0,1699,2986,3579,4194
244,1,0,1694,2976,3588,4204
245,1,0,1700,2988,3585,4200
246,1,0,1698,2984,3581,4196
247,1,0,1703,2992,3581,4196
248,1,0,1702,2990,3583,4198
249,1,0,1707,3000,3588,4204
250,1,0,1707,3000,3583,4198
251,1,0,1699,2986,3577,4190
252,1,0,1704,2994,3580,4194
253,1,0,1705,2996,3581,4196
255,1,0,1706,2998,3590,4206
255,1,0,1695,2978,3592,4208
256,1,0,1695,2978,3588,4204
257,1,0,1701,2990,3580,4194
258,1,0,1703,2992,3584,4200
259,1,0,1704,2994,3590,4206
260,1,0,1706,2998,3584,4200
261,1,0,1703,2992,3588,4204
262,1,0,1705,2996,3585,4200
263,1,0,1708,3002,3584,4200
264,1,0,1703,2992,3587,4202
265,1,0,1705,2996,3587,4202
266,1,0,1706,2998,3586,4202
267,1,0,1703,2992,3583,4198
268,1,0,1696,2980,3583,4198
269,1,0,1703,2992,3589,4204
270,1,0,1715,3014,3583,4198
271,1,0,1709,3004,3584,4200
272,1,0,1695,2978,3584,4200
273,1,0,1703,2992,3586,4202
274,1,0,1703,2992,3582,4196
275,1,0,1702,2990,3580,4194
276,1,0,1712,3008,3581,4196
277,1,0,1709,3004,3577,4190
278,1,0,1704,2994,3587,4202
279,1,0,1708,3002,3575,4188
280,1,0,1708,3002,3592,4208
281,1,0,1698,2984,3587,4202
282,1,0,1703,2992,3584,4200
283,1,0,1706,2998,3583,4198
284,1,0,1701,2990,3579,4194
285,1,0,1708,3002,3585,4200
286,1,0,1707,3000,3590,4206
287,1,0,1707,3000,3588,4204
288,1,0,1699,2986,3581,4196
289,1,0,1701,2990,3576,4190
290,1,0,1704,2994,3595,4212
291,1,0,1701,2990,3582,4196
292,1,0,1712,3008,3584,4200
293,1,0,1703,2992,3587,4202
294,1,0,1703,2992,3583,4198
295,1,0,1703,2992,3583,4198
296,1,0,1708,3002,3582,4196
297,1,0,1697,2982,3586,4202
298,1,0,1699,2986,3583,4198
299,1,0,1703,2992,3577,4190
300,1,0,1702,2990,3581,4196
301,1,0,1708,3002,3584,4200
302,1,0,1699,2986,3578,4192
303,1,0,1704,2994,3590,4206
304,1,0,1703,2992,3585,4200
305,1,0,1703,2992,3587,4202
306,1,0,1701,2990,3591,4208
307,1,0,1704,2994,3592,4208
308,1,0,1697,2982,3588,4204
